"ngrams","Freq"
"the",937224
"to",788802
"i",727214
"a",614444
"you",549183
"and",438684
"for",385422
"in",380382
"of",359665
"is",358876
"it",296504
"my",292057
"on",278144
"that",235002
"me",203179
"be",187923
"at",186781
"with",173505
"your",171261
"have",168729
"this",164160
"so",163081
"are",158650
"just",151156
"we",134391
"i'm",129443
"but",128039
"not",124167
"like",122406
"all",122362
"was",117422
"out",116349
"up",116240
"what",112892
"get",112488
"do",107216
"love",106786
"if",106698
"good",101081
"will",94807
"day",91782
"about",91212
"can",90294
"thanks",89755
"rt",89739
"it's",84387
"now",84138
"from",83983
"one",82887
"when",82492
"know",79948
"u",79572
"no",78453
"time",76888
"great",76192
"don't",76045
"how",75713
"today",73216
"go",72977
"as",70910
"lol",70592
"or",70554
"they",70189
"new",69789
"see",67075
"an",66088
"more",63035
"our",61987
"some",61633
"there",61305
"too",59314
"by",59219
"back",58527
"he",56622
"3",56420
"got",55927
"going",55841
"who",55744
"think",54017
"people",52089
"would",51853
"need",50994
"us",49197
"happy",48980
"follow",48129
"want",48081
"make",47728
"2",47620
"has",46478
"right",46290
"can't",45892
"really",45666
"tonight",44780
"much",44614
"been",43935
"work",42372
"had",42199
"am",41590
"night",41200
"come",40692
"did",39997
"thank",39801
"only",39731
"well",39157
"them",38819
"why",38811
"still",38318
"last",37528
"here",37513
"you're",37468
"its",37169
"way",37074
"off",36993
"should",36818
"best",36473
"hope",35613
"that's",35141
"his",34186
"her",34123
"life",33990
"never",33747
"oh",33323
"then",32663
"say",32228
"over",31996
"than",31990
"first",31635
"show",31476
"next",31126
"twitter",30748
"im",30744
"game",30628
"better",30446
"please",30403
"she",30394
"always",29289
"week",29191
"1",28903
"yes",28616
"tomorrow",28574
"their",28494
"take",28173
"down",28082
"year",28019
"him",27926
"i'll",27800
"man",27578
"haha",27264
"wait",27237
"any",27184
"where",26932
"were",26511
"morning",26499
"could",26460
"even",26144
"hey",25923
"4",25888
"getting",25828
"d",25656
"looking",25639
"very",25583
"w",25378
"everyone",25190
"ever",25184
"look",25091
"sure",25070
"awesome",25003
"home",24715
"feel",24597
"after",23976
"let",23906
"big",23895
"being",23593
"because",23266
"fun",23187
"again",22763
"keep",22574
"weekend",22562
"nice",22483
"something",22451
"yeah",22095
"i've",22030
"into",21706
"gonna",21705
"thing",21627
"doing",21298
"things",21277
"school",21268
"free",21193
"5",21137
"guys",21029
"world",21023
"bad",20973
"check",20718
"someone",20578
"help",20421
"tweet",20194
"those",20048
"miss",20036
"live",20012
"does",19852
"every",19827
"soon",19739
"watching",19727
"tell",19657
"music",19632
"other",19627
"long",19597
"amazing",19581
"call",19387
"give",19227
"coming",19093
"little",18977
"many",18935
"may",18867
"made",18815
"before",18813
"friends",18713
"stop",18660
"days",18641
"same",18533
"hate",18523
"most",18482
"wish",18344
"said",18144
"didn't",17980
"girl",17711
"start",17677
"done",17663
"shit",17439
"ready",17416
"find",17407
"two",17394
"cool",17237
"god",17148
"old",17111
"we're",17087
"play",17059
"watch",16931
"another",16861
"pretty",16818
"real",16551
"birthday",16423
"also",16365
"s",16341
"talk",16229
"anyone",16221
"win",16220
"these",16000
"use",15976
"excited",15753
"friday",15600
"10",15391
"com",15355
"hard",15346
"working",15334
"hear",15291
"what's",15166
"sorry",15159
"o",15083
"try",15044
"having",15042
"around",15013
"thought",14856
"ur",14796
"team",14781
"maybe",14544
"while",14541
"already",14508
"though",14407
"wanna",14287
"put",14257
"makes",14174
"glad",14141
"ok",14062
"house",13916
"wow",13730
"away",13701
"trying",13695
"p",13666
"beautiful",13610
"yet",13553
"ya",13535
