"ngrams","Freq"
"ass ass ass ass ass ass ass ass ass ass",72
"matt hunter matt hunter matt hunter matt hunter matt hunter",67
"award winning novel gray rainbow journey limited time offer contact",65
"book award winning novel gray rainbow journey limited time offer",64
"hunter matt hunter matt hunter matt hunter matt hunter matt",59
"cake cake cake cake cake cake cake cake cake cake",56
"no no no no no no no no no no",48
"today is my 15th birthday and i love you so",46
"15th birthday and i love you so so so much",45
"is my 15th birthday and i love you so so",45
"my 15th birthday and i love you so so so",45
"coming to the stage at the world famous comic strip",44
"to the stage at the world famous comic strip live",44
"every single one of your videos on youtube plz follow",42
"i suscribed every single one of your videos on youtube",42
"single one of your videos on youtube plz follow me",42
"suscribed every single one of your videos on youtube plz",42
"hi hi hi hi hi hi hi hi hi hi",38
"go instead where there is no path and leave a",37
"instead where there is no path and leave a trail",37
"the stage at the world famous comic strip live nyc",36
"belongs to those who believe in the beauty of their",34
"boyfriend is going to be beast what i'm saying is",34
"future belongs to those who believe in the beauty of",34
"is going to be beast what i'm saying is beast",34
"now boyfriend is going to be beast what i'm saying",34
"please please please please please please please please please please",34
"swag swag swag swag swag swag swag swag swag swag",34
"the future belongs to those who believe in the beauty",34
"to those who believe in the beauty of their dreams",34
"get noticed by but i knoe that it will happen",33
"ha ha ha ha ha ha ha ha ha ha",33
"impossible to get noticed by but i knoe that it",33
"its impossible to get noticed by but i knoe that",33
"me me me me me me me me me me",33
"to get noticed by but i knoe that it will",33
"boy saying he can get punked and he did hahah",31
"he can get punked and he did hahah love you",31
"i love you i love you i love you i",31
"love you i love you i love you i love",31
"saying he can get punked and he did hahah love",31
"this boy saying he can get punked and he did",31
"you i love you i love you i love you",31
"but the key to failure is trying to please everybody",30
"what lies behind us and what lies before us are",29
"add boston add boston add boston add boston add boston",28
"lies before us are tiny matters compared to what lies",28
"lies behind us and what lies before us are tiny",28
"one who can lay a firm foundation with the bricks",28
"what lies before us are tiny matters compared to what",28
"and what lies before us are tiny matters compared to",27
"before us are tiny matters compared to what lies within",27
"behind us and what lies before us are tiny matters",27
"follow me because of how big of a fan i",27
"is one who can lay a firm foundation with the",27
"me because of how big of a fan i am",27
"onetime when you follow me and today could be it",27
"should follow me because of how big of a fan",27
"us and what lies before us are tiny matters compared",27
"us are tiny matters compared to what lies within us",27
"when you follow me and today could be it x",27
"omg omg omg omg omg omg omg omg omg omg",25
"those who mind don't matter and those who matter don't",25
"who mind don't matter and those who matter don't mind",25
"x x x x x x x x x x",25
"gas gas gas gas gas gas gas gas gas gas",24
"hospitality suite will open for our 50th appearance at the",24
"if you want to support charity water this holiday season",24
"our hospitality suite will open for our 50th appearance at",24
"suite will open for our 50th appearance at the final",24
"until our hospitality suite will open for our 50th appearance",24
"among the first 5 people to say the secret word",23
"be among the first 5 people to say the secret",23
"because those who mind don't matter and those who matter",23
"days until our hospitality suite will open for our 50th",23
"hey i just met you and this is crazy but",23
"i'll keep trying as hard as i can because taught",23
"keep trying as hard as i can because taught me",23
"trying as hard as i can because taught me to",23
"what do you want to be when you grow up",23
"will open for our 50th appearance at the final five",23
"and that his career will continue pumping throughout the world",22
"call call call call call call call call call call",22
"be the change you wish to see in the world",21
"do you happen to have a extra pair of tickets",21
"happy happy happy happy happy happy happy happy happy happy",21
"if you want to support the nature conservancy this holiday",21
"like to share how kanjoya's emotional tool can assist you",21
"people rarely succeed unless they have fun in what they",21
"rarely succeed unless they have fun in what they are",21
"succeed unless they have fun in what they are doing",21
"you happen to have a extra pair of tickets for",21
"you want to support the nature conservancy this holiday season",21
"be who you are and say what you feel because",20
"does 'one four three' mean when its sung in a",20
"it would mean the world to me if you followed",20
"pleasure in life is doing what people say you cannot",20
"who you are and say what you feel because those",20
"you are and say what you feel because those who",20
"'one four three' mean when its sung in a song",19
"are and say what you feel because those who mind",19
"bday and the best gift is if you follow her",19
"be the change you want to see in the world",19
"because it is dressed in overalls and looks like work",19
"dope dope dope dope dope dope dope dope dope dope",19
"drag you down to his level and beat you with",19
"friend's bday and the best gift is if you follow",19
"he will drag you down to his level and beat",19
"in life is doing what people say you cannot do",19
"live in a society where pizza gets to your house",19
"my friend's bday and the best gift is if you",19
"rain rain rain rain rain rain rain rain rain rain",19
"the limits of the possible is by going beyond them",19
"the way that you flip your hair gets me overwhelmed",19
"today's my friend's bday and the best gift is if",19
"we live in a society where pizza gets to your",19
"what does 'one four three' mean when its sung in",19
"will drag you down to his level and beat you",19
"work work work work work work work work work work",19
"you down to his level and beat you with experience",19
"a firm foundation with the bricks others have thrown at",18
"a society where pizza gets to your house before the",18
"and say what you feel because those who mind don't",18
"art of getting someone else to do something you want",18
"be able to spend your life in your own way",18
"can lay a firm foundation with the bricks others have",18
"do something you want done because he wants to do",18
"else to do something you want done because he wants",18
"feel because those who mind don't matter and those who",18
"finding the limits of the possible is by going beyond",18
"firm foundation with the bricks others have thrown at him",18
"getting someone else to do something you want done because",18
"in a society where pizza gets to your house before",18
"lay a firm foundation with the bricks others have thrown",18
"limits of the possible is by going beyond them into",18
"of finding the limits of the possible is by going",18
"of getting someone else to do something you want done",18
"of the possible is by going beyond them into the",18
"only way of finding the limits of the possible is",18
"say what you feel because those who mind don't matter",18
"society where pizza gets to your house before the police",18
"someone else to do something you want done because he",18
"something you want done because he wants to do it",18
"the art of getting someone else to do something you",18
"the only way of finding the limits of the possible",18
"the possible is by going beyond them into the impossible",18
"to be able to spend your life in your own",18
"to do something you want done because he wants to",18
"way of finding the limits of the possible is by",18
"what you feel because those who mind don't matter and",18
"who can lay a firm foundation with the bricks others",18
"would mean the world to me if you followed me",18
"you feel because those who mind don't matter and those",18
"any chance you'll be at the botanical gardens in chicago",17
"asktheboyz if they are going to do a call me",17
"best way to predict the future is to create it",17
"boys give a shoutout to nicole d from new york",17
"by most people because it is dressed in overalls and",17
"can the boys give a shoutout to nicole d from",17
"caps caps caps caps caps caps caps caps caps caps",17
"chance you'll be at the botanical gardens in chicago this",17
"consists of going from failure to failure without loss of",17
"damn damn damn damn damn damn damn damn damn damn",17
"either you run the day or the day runs you",17
"every morning just hoping one day you will notice me",17
"faith is taking the first step even when you don't",17
"follow me it would mean so much i love you",17
"give a shoutout to nicole d from new york and",17
"if they are going to do a call me maybe",17
"in three words i can sum up everything i've learned",17
"is missed by most people because it is dressed in",17
"is taking the first step even when you don't see",17
"is there any chance you'll be at the botanical gardens",17
"missed by most people because it is dressed in overalls",17
"most people because it is dressed in overalls and looks",17
"never too late to be what you might have been",17
"opportunity is missed by most people because it is dressed",17
"people because it is dressed in overalls and looks like",17
"please follow me it would mean so much i love",17
"success consists of going from failure to failure without loss",17
"taking the first step even when you don't see the",17
"the best way to predict the future is to create",17
"the boys give a shoutout to nicole d from new",17
"there any chance you'll be at the botanical gardens in",17
"they are going to do a call me maybe video",17
"three words i can sum up everything i've learned about",17
"up every morning just hoping one day you will notice",17
"wake up every morning just hoping one day you will",17
"why some people appear bright until you hear them speak",17
"will you please follow me it would mean so much",17
"you please follow me it would mean so much i",17
"you'll be at the botanical gardens in chicago this weekendd",17
"17 million chance that you see this tweet but im",16
"are people who did not realize how close they were",16
"are those frightful things you see when you take your",16
"but it was no match for me at kick boxing",16
"but it will annoy enough people to make it worth",16
"failures are people who did not realize how close they",16
"first step even when you don't see the whole staircase",16
"follow the big homie ceo of lets get him to",16
"frightful things you see when you take your eyes off",16
"fun fun fun fun fun fun fun fun fun fun",16
"greatest pleasure in life is doing what people say you",16
"how close they were to success when they gave up",16
"in 17 million chance that you see this tweet but",16
"is one in 17 million chance that you see this",16
"is the day of the woman and my birthday day",16
"is why some people appear bright until you hear them",16
"it will annoy enough people to make it worth the",16
"man is one who can lay a firm foundation with",16
"million chance that you see this tweet but im try",16
"my son just left the us navy after 14 years",16
"obstacles are those frightful things you see when you take",16
"of going from failure to failure without loss of enthusiasm",16
"one in 17 million chance that you see this tweet",16
"so so so so so so so so so so",16
"the big homie ceo of lets get him to 40",16
"the first step even when you don't see the whole",16
"the greatest pleasure in life is doing what people say",16
"this is why some people appear bright until you hear",16
"those frightful things you see when you take your eyes",16
"today is the day of the woman and my birthday",16
"will annoy enough people to make it worth the effort",16
"words i can sum up everything i've learned about life",16
"your own resolution to succeed is more important than any",16
"00 pm a hey paoo or whatever would make me",15
"a hey paoo or whatever would make me go to",15
"a successful man is one who can lay a firm",15
"appearance to women by watching your weight and paying attention",15
"best way to make your dreams come true is to",15
"but im from uruguay and i have a dream that",15
"by nature single women will look for the best of",15
"by the harvest you reap but by the seeds that",15
"by watching your weight and paying attention to the way",15
"can improve your appearance to women by watching your weight",15
"day by the harvest you reap but by the seeds",15
"did not realize how close they were to success when",15
"don't judge each day by the harvest you reap but",15
"each day by the harvest you reap but by the",15
"harvest you reap but by the seeds that you plant",15
"hey paoo or whatever would make me go to sleep",15
"how many ways are benefits paid or not in health",15
"improve your appearance to women by watching your weight and",15
"judge each day by the harvest you reap but by",15
"look for the best of the species to breed with",15
"luck luck luck luck luck luck luck luck luck luck",15
"many ways are benefits paid or not in health ins",15
"nature single women will look for the best of the",15
"not realize how close they were to success when they",15
"people who did not realize how close they were to",15
"please follow me it would mean the world to me",15
"pm a hey paoo or whatever would make me go",15
