"ngrams","Freq"
"the port authority of new york and new jersey",114
"the university of medicine and dentistry of new jersey",49
"the rock and roll hall of fame and museum",37
"a state crime to be in the country illegally",34
"according to the centers for disease control and prevention",34
"it a state crime to be in the country",34
"condition of anonymity because they were not authorized to",28
"every one that fell on the new york stock",28
"for every one that fell on the new york",28
"makes it a state crime to be in the",28
"one that fell on the new york stock exchange",28
"rose for every one that fell on the new",28
"has a margin of error of plus or minus",26
"in electronic trading on the new york mercantile exchange",26
"inducted into the rock and roll hall of fame",26
"did not immediately respond to a request for comment",25
"on condition of anonymity because they were not authorized",25
"to robert wood johnson university hospital in new brunswick",25
"stocks rose for every one that fell on the",24
"a person's legal status when reasonable suspicion exists that",21
"about a person's legal status when reasonable suspicion exists",21
"ask about a person's legal status when reasonable suspicion",21
"a margin of error of plus or minus 3",20
"condition of anonymity because of the sensitivity of the",20
"in a case in which he was charged with",20
"lodged in the cumberland county jail in lieu of",20
"on condition of anonymity because of the sensitivity of",20
"spoke on condition of anonymity because they were not",20
"every one that rose on the new york stock",19
"fell for every one that rose on the new",19
"for every one that rose on the new york",19
"legal status when reasonable suspicion exists that the person",19
"one that rose on the new york stock exchange",19
"person's legal status when reasonable suspicion exists that the",19
"reasonable suspicion exists that the person is in the",19
"status when reasonable suspicion exists that the person is",19
"stocks fell for every one that rose on the",19
"was taken to robert wood johnson university hospital in",19
"when reasonable suspicion exists that the person is in",19
"condition of anonymity because he was not authorized to",18
"on condition of anonymity because he was not authorized",18
"a charge that he tried to pay a judge",17
"address of each property is followed by the price",17
"including a charge that he tried to pay a",17
"taken to robert wood johnson university hospital in new",17
"the address of each property is followed by the",17
"the event is free and open to the public",17
"of the port authority of new york and new",16
"suspicion exists that the person is in the u",16
"was lodged in the cumberland county jail in lieu",16
"office as the base to run a criminal enterprise",15
"spoke on condition of anonymity because he was not",15
"7 daily state parks pass is required for all",14
"a decade of conflict abroad and economic crisis at",14
"at the rock and roll hall of fame and",14
"cited for driving with a suspended or revoked license",14
"daily state parks pass is required for all vehicles",14
"decade of conflict abroad and economic crisis at home",14
"emerge from a decade of conflict abroad and economic",14
"from a decade of conflict abroad and economic crisis",14
"parks pass is required for all vehicles entering the",14
"pass is required for all vehicles entering the park",14
"state parks pass is required for all vehicles entering",14
"states that an officer engaged in a lawful stop",14
"two stocks rose for every one that fell on",14
"was cited for driving with a suspended or revoked",14
"by a strong majority of a democratically elected congress",13
"commissioner's office as the base to run a criminal",13
"county commissioner's office as the base to run a",13
"he was lodged in the cumberland county jail in",13
"his county commissioner's office as the base to run",13
"into the rock and roll hall of fame in",13
"it states that an officer engaged in a lawful",13
"passed by a strong majority of a democratically elected",13
"pleaded not guilty to six criminal counts related to",13
"was inducted into the rock and roll hall of",13
"we can see the light of a new day",13
"a law that was passed by a strong majority",12
"barrel in electronic trading on the new york mercantile",12
"guilty to six criminal counts related to campaign finance",12
"law that was passed by a strong majority of",12
"not guilty to six criminal counts related to campaign",12
"port authority of new york and new jersey said",12
"that was passed by a strong majority of a",12
"the national association for the advancement of colored people",12
"time in electronic trading on the new york mercantile",12
"to six criminal counts related to campaign finance violations",12
"was passed by a strong majority of a democratically",12
"a bar that has amazingly good deals on drinks",11
"a margin of error of plus or minus 4",11
"as we emerge from a decade of conflict abroad",11
"asked readers to tell us their best memory at",11
"at robert wood johnson university hospital in new brunswick",11
"at the university of medicine and dentistry of new",11
"bar that has amazingly good deals on drinks and",11
"do you know of a bar that has amazingly",11
"has pleaded not guilty to six criminal counts related",11
"in a filing with the securities and exchange commission",11
"know of a bar that has amazingly good deals",11
"man was cited for driving with a suspended or",11
"of a bar that has amazingly good deals on",11
"of the house committee on oversight and government reform",11
"of three jobs for a year and generates about",11
"one each day the indians are scheduled to play",11
"please welcome the host of the laugh track column",11
"possession of a weapon for an unlawful purpose and",11
"readers to tell us their best memory at an",11
"singapore time in electronic trading on the new york",11
"spoke on condition of anonymity because of the sensitivity",11
"tell us their best memory at an indians game",11
"that has amazingly good deals on drinks and food",11
"to life in prison without the possibility of parole",11
"to tell us their best memory at an indians",11
"two stocks fell for every one that rose on",11
"used his county commissioner's office as the base to",11
"we asked readers to tell us their best memory",11
"we emerge from a decade of conflict abroad and",11
"you know of a bar that has amazingly good",11
"a margin of error of plus or minus 2",10
"about sales of residential properties was provided by mls",10
"alleging that he used his county commissioner's office as",10
"and the port authority of new york and new",10
"anonymity because they were not authorized to discuss the",10
"are chosen annually to write columns on topics of",10
"are out of work but not looking for jobs",10
"bring a large pot of salted water to a",10
"by the port authority of new york and new",10
"following information about sales of residential properties was provided",10
"for the port authority of new york and new",10
"he used his county commissioner's office as the base",10
"information about sales of residential properties was provided by",10
"law makes it a state crime to be in",10
"mistress as he sought the white house in 2008",10
"of anonymity because they were not authorized to speak",10
"of the university of medicine and dentistry of new",10
"of work but not looking for jobs aren't counted",10
"opinion shapers are chosen annually to write columns on",10
"our troops launched the operation that killed osama bin",10
"out of work but not looking for jobs aren't",10
"people who are out of work but not looking",10
"pregnant mistress as he sought the white house in",10
"sales of residential properties was provided by mls for",10
"shapers are chosen annually to write columns on topics",10
"state crime to be in the country illegally and",10
"that he used his county commissioner's office as the",10
"the animal protection league of new jersey and the",10
"the following information about sales of residential properties was",10
"the rock and roll hall of fame induction ceremony",10
"troops launched the operation that killed osama bin laden",10
"was arrested in the 2300 block of madison avenue",10
"was arrested on suspicion of driving under the influence",10
"who are out of work but not looking for",10
"2300 block of madison avenue on a charge of",9
"a large pot of salted water to a boil",9
"also available for download beginning monday or tuesday at",9
"also download our cleveland indians app for android to",9
"an average of three jobs for a year and",9
"and has a margin of error of plus or",9
"and send their prayers to junior and his family",9
"and the university of medicine and dentistry of new",9
"android to get tribe updates on your mobile device",9
"annually to write columns on topics of interest to",9
"anonymous visits to each restaurant and do not accept",9
"app for android to get tribe updates on your",9
"arrested a man for possession of a controlled substance",9
"arrested in the 2300 block of madison avenue on",9
"at least two anonymous visits to each restaurant and",9
"at the chargers is in complete shock and disbelief",9
"at the university of north carolina at chapel hill",9
"available for download beginning monday or tuesday at www",9
"billions of dollars just trying to catch one person",9
"built creates an average of three jobs for a",9
"can also download our cleveland indians app for android",9
"chairman of the house committee on oversight and government",9
"charged with possession of less than 50 grams of",9
"chargers is in complete shock and disbelief right now",9
"check out the off the beaten aisle column over",9
"chosen annually to write columns on topics of interest",9
"cleveland indians app for android to get tribe updates",9
"creates an average of three jobs for a year",9
"dealer reviewers make at least two anonymous visits to",9
"doing and send their prayers to junior and his",9
"download our cleveland indians app for android to get",9
"everyone at the chargers is in complete shock and",9
"extraordinary step of overturning a law that was passed",9
"for android to get tribe updates on your mobile",9
"from the port authority of new york and new",9
"has a sampling error margin of plus or minus",9
"home built creates an average of three jobs for",9
"how long have you been in your current position",9
"hoynsie or click here for a live game box",9
"in and around his imperial avenue home in 2009",9
"in the 2300 block of madison avenue on a",9
"indians app for android to get tribe updates on",9
"is also available for download beginning monday or tuesday",9
"it is also available for download beginning monday or",9
"least two anonymous visits to each restaurant and do",9
"make at least two anonymous visits to each restaurant",9
"of life in prison without the possibility of parole",9
"of overturning a law that was passed by a",9
"off the beaten aisle column over on food network",9
"on the new jersey turnpike and garden state parkway",9
"or click here for a live game box score",9
"our cleveland indians app for android to get tribe",9
"out the off the beaten aisle column over on",9
"overturning a law that was passed by a strong",9
"percent in the first three months of the year",9
"plain dealer reviewers make at least two anonymous visits",9
"police arrested a man for possession of a controlled",9
"portland general manager and head coach mike johnston said",9
"reviewers make at least two anonymous visits to each",9
"spending billions of dollars just trying to catch one",9
"step of overturning a law that was passed by",9
"taking out over 20 of their top 30 leaders",9
"the 2300 block of madison avenue on a charge",9
"the chargers is in complete shock and disbelief right",9
"the economy grew at an annual rate of 2",9
"the off the beaten aisle column over on food",9
"to call the jersey city police tip line at",9
"to write columns on topics of interest to them",9
"two anonymous visits to each restaurant and do not",9
"who spoke on condition of anonymity because he was",9
"with a margin of error of plus or minus",9
"with possession of less than 50 grams of marijuana",9
"you can also download our cleveland indians app for",9
"2010 investigation into the program by being untruthful to",8
"a funny thing happened on the way to the",8
"a large saucepan of salted water to a boil",8
"a man for possession of a controlled substance at",8
"a margin of sampling error of plus or minus",8
"an arizona home building and remodeling industry expert for",8
"and earth spending billions of dollars just trying to",8
"and may be selected to run in the plain",8
"animal protection league of new jersey and the bear",8
"arizona home building and remodeling industry expert for 35",8
"arrested on suspicion of driving under the influence of",8
"at the new jersey performing arts center in newark",8
"average of three jobs for a year and generates",8
"be dead or in jail by this time next",8
"be selected to run in the plain dealer or",8
"bring a large saucepan of salted water to a",8
"businesses to shut down for not observing calls for",8
"but not looking for jobs aren't counted among the",8
"can see the light of a new day on",8
"com and may be selected to run in the",8
"committed suicide by jumping off the george washington bridge",8
"court will not take what would be an unprecedented",8
"dead or in jail by this time next year",8
"degree possession of a weapon for an unlawful purpose",8
"earth spending billions of dollars just trying to catch",8
"either be dead or in jail by this time",8
"facing dozens of lawsuits brought by more than 1",8
"force businesses to shut down for not observing calls",8
"funny thing happened on the way to the forum",8
"heaven and earth spending billions of dollars just trying",8
"home building and remodeling industry expert for 35 years",8
"i want to apologize to the fans and my",8
"investigation into the program by being untruthful to investigators",8
"is facing dozens of lawsuits brought by more than",8
"known as the job openings and labor turnover survey",8
"league of new jersey and the bear education and",8
"margin of error of plus or minus 4 percentage",8
"may be selected to run in the plain dealer",8
"nfl is facing dozens of lawsuits brought by more",8
"of error of plus or minus 4 percentage points",8
"of new jersey and the bear education and resource",8
"port authority of new york and new jersey to",8
"protection league of new jersey and the bear education",8
"see the light of a new day on the",8
"selected to run in the plain dealer or sun",8
"supreme court will not take what would be an",8
"the light of a new day on the horizon",8
"the nfl is facing dozens of lawsuits brought by",8
"the supreme court will not take what would be",8
"to force businesses to shut down for not observing",8
"to run in the plain dealer or sun news",8
"to shut down for not observing calls for a",8
"tore the anterior cruciate ligament in his left knee",8
"unemployment benefits fell last week by the most in",8
"want to apologize to the fans and my team",8
"was in the right place at the right time",8
"work but not looking for jobs aren't counted among",8
"years in prison and a fine of up to",8
"zimmerman's father is white and his mother is hispanic",8
"11 women whose bodies were found in and around",7
"20 years in prison and a fine of up",7
"a barrel in electronic trading on the new york",7
"a bench warrant thursday in a case in which",7
"a country where a shrinking number of people do",7
"a quick look at items that appeared in the",7
"a spokesman for the new jersey school boards association",7
"a voter's decision whether to go to the polls",7
"a willowy and gorgeous single mom running a kennel",7
"about their immigration status if there is reason to",7
"abusing a corpse and tampering with evidence in the",7
"actual sale price is not disclosed by the mls",7
"afoul of local government officials for exposing forced abortions",7
"after a series of summer blockbusters that individually introduced",7
"after running afoul of local government officials for exposing",7
"afternoon singapore time in electronic trading on the new",7
"also that he knew about and participated in it",7
"and charged for a failure to appear warrant from",7
"and gorgeous single mom running a kennel with her",7
"and we will vigorously protect and pursue all options",7
"and we'll highlight it as part of this new",7
"anonymity because they were not authorized to speak to",7
"are you better off than you were four years",7
"arrested on a bench warrant thursday in a case",7
"arrested on the charge of driving under the influence",7
"asked to call the jersey city police tip line",7
"at late afternoon singapore time in electronic trading on",7
"bin laden is dead and general motors is alive",7
"bruno that killed eight people and destroyed 38 homes",7
"budget for the fiscal year that begins july 1",7
"but also that he knew about and participated in",7
"by the mls until after the property closes escrow",7
"cast your vote and post your comments on why",7
"condition to advocate christ medical center in oak lawn",7
"confident that the supreme court will not take what",7
"decision whether to go to the polls to cast",7
"did not respond to a request for an interview",7
"director of the port authority of new york and",7
"disclosed by the mls until after the property closes",7
"each home built creates an average of three jobs",7
"edwards has pleaded not guilty to six criminal counts",7
"epitomizes what we are looking for in buccaneer men",7
"eric lives his life epitomizes what we are looking",7
"ethics laws by appointing his son as a special",7
"executive director of the port authority of new york",7
"federal government and the port authority of new york",7
"finding him unconscious with a gunshot wound to the",7
"for his family's safety unless they are all spirited",7
"for information leading to the arrest and conviction of",7
"for medical technology on the northeast corner of st",7
"for the first five games of the 2011 season",7
"girlfriend reported finding him unconscious with a gunshot wound",7
"had a margin of sampling error of plus or",7
"had mentioned to me that he had taken hgh",7
"have made it clear that punishment without evidence is",7
"he was taken to robert wood johnson university hospital",7
"here's a quick look at items that appeared in",7
"highlight it as part of this new night life",7
"him unconscious with a gunshot wound to the chest",7
"his family's safety unless they are all spirited abroad",7
"his life epitomizes what we are looking for in",7
"i have had to make some very difficult decisions",7
"i'm confident that the supreme court will not take",7
"in a case in which she was charged with",7
"in san bruno that killed eight people and destroyed",7
"in the proceedings of the national academy of sciences",7
"influence a voter's decision whether to go to the",7
"is a willowy and gorgeous single mom running a",7
"is asked to call the jersey city police tip",7
"is not disclosed by the mls until after the",7
"it as part of this new night life feature",7
"it clear that punishment without evidence is not fair",7
"late afternoon singapore time in electronic trading on the",7
"laws by appointing his son as a special deputy",7
"life epitomizes what we are looking for in buccaneer",7
"lives his life epitomizes what we are looking for",7
"look at items that appeared in the plain dealer",7
"made it clear that punishment without evidence is not",7
"marriage as solely between a man and a woman",7
"moving heaven and earth spending billions of dollars just",7
"not disclosed by the mls until after the property",7
"of anonymity because they were not authorized to discuss",7
"of public health and the cancer institute of new",7
"of state hillary rodham clinton and treasury secretary timothy",7
"of the national association for the advancement of colored",7
"of the new jersey chapter of the sierra club",7
"of the rock and roll hall of fame and",7
"off the tricky feat of juggling a large ensemble",7
"on a bench warrant thursday in a case in",7
"participants should read the book before attending the meeting",7
"people about their immigration status if there is reason",7
"percent in the final three months of last year",7
"players who say the league didn't do enough to",7
"poll has a margin of error of plus or",7
"port authority of new york and new jersey and",7
"price is not disclosed by the mls until after",7
"public health and the cancer institute of new jersey",7
"question people about their immigration status if there is",7
"quick look at items that appeared in the plain",7
"reported finding him unconscious with a gunshot wound to",7
"roger had mentioned to me that he had taken",7
"running afoul of local government officials for exposing forced",7
"sale price is not disclosed by the mls until",7
"san bruno that killed eight people and destroyed 38",7
"school of public health and the cancer institute of",7
"secretary of state hillary rodham clinton and treasury secretary",7
"sentence of life in prison without the possibility of",7
"showplace for medical technology on the northeast corner of",7
"speaking on condition of anonymity because of the sensitivity",7
"state hillary rodham clinton and treasury secretary timothy geithner",7
"story showplace for medical technology on the northeast corner",7
"sunlight glistens off soaring new towers in downtown manhattan",7
"that established not only the existence of the program",7
"that marriage is between a man and a woman",7
"that the supreme court will not take what would",7
"the actual sale price is not disclosed by the",7
"the federal government and the port authority of new",7
"the official spoke on condition of anonymity because the",7
"the school of public health and the cancer institute",7
"the tricky feat of juggling a large ensemble cast",7
"the way eric lives his life epitomizes what we",7
"their immigration status if there is reason to suspect",7
"to go to the polls to cast a vote",7
"to the federal centers for disease control and prevention",7
"vigorously protect and pursue all options on their behalf",7
"voter's decision whether to go to the polls to",7
"was arrested on a bench warrant thursday in a",7
"was arrested on the charge of driving under the",7
"way eric lives his life epitomizes what we are",7
"we have made it clear that punishment without evidence",7
"we have spoken with our players and their representatives",7
"we must finish the job we started in afghanistan",7
"we will vigorously protect and pursue all options on",7
"we'll highlight it as part of this new night",7
"whether to go to the polls to cast a",7
"will either be dead or in jail by this",7
"will vigorously protect and pursue all options on their",7
"willowy and gorgeous single mom running a kennel with",7
"you better off than you were four years ago",7
