"ngrams","Freq"
"at the end of the",1373
"for the first time in",691
"for the first time since",572
"by the end of the",570
"in the middle of the",570
"the end of the day",446
"the end of the year",430
"at the time of the",404
"there are a lot of",389
"the dow jones industrial average",339
"for the rest of the",327
"in the bottom of the",314
"could not be reached for",309
"at the top of the",302
"not be reached for comment",297
"is one of the most",263
"on both sides of the",255
"to be a part of",244
"as a result of the",242
"it's going to be a",240
"at the start of the",232
"rock and roll hall of",230
"said in a statement that",221
"the first round of the",219
"but at the same time",215
"at the beginning of the",213
"the other side of the",213
"the new york stock exchange",212
"and the rest of the",206
"said in a news release",205
"in the wake of the",202
"said in a written statement",202
"in the first round of",201
"on the other side of",201
"in the top of the",199
"the end of the season",198
"is going to be a",195
"and roll hall of fame",193
"the first three months of",192
"to find a way to",192
"we have a lot of",192
"for more than a decade",191
"declined to comment on the",189
"centers for disease control and",183
"the rock and roll hall",178
"to be one of the",177
"new york and new jersey",176
"as a member of the",175
"had nothing to do with",175
"in the middle of a",175
"has nothing to do with",174
"spoke on condition of anonymity",174
"on the new york stock",173
"for disease control and prevention",172
"going to be able to",170
"the securities and exchange commission",170
"hundreds of thousands of dollars",165
"in an interview with the",165
"the end of the month",164
"it was the first time",163
"at the bottom of the",161
"is a member of the",159
"on condition of anonymity because",159
"in the back of the",156
"the home was sold by",156
"for more than a year",154
"this is the first time",152
"hundreds of millions of dollars",151
"was a member of the",148
"to the top of the",145
"in the united states and",143
"the centers for disease control",141
"the food and drug administration",141
"in the first quarter of",140
"in the midst of a",140
"is one of the best",138
"it was going to be",138
"turned out to be a",137
"the right thing to do",136
"we're going to have to",135
"of new york and new",134
"the rest of the season",134
"when it comes to the",134
"the rest of the world",133
"to be part of the",133
"a year and a half",132
"in the first half of",132
"has been one of the",131
"there was a lot of",131
"a couple of years ago",129
"at the end of a",129
"there is a lot of",128
"port authority of new york",127
"professor at the university of",127
"defensive player of the year",126
"authority of new york and",125
"this is going to be",125
"to come up with a",125
"to figure out how to",125
"the first half of the",124
"at a time when the",123
"to get out of the",123
"to go out there and",122
"in the history of the",121
"all the way to the",120
"in the past two years",120
"nothing to do with the",120
"this is one of the",120
"a man and a woman",119
"three months of the year",119
"a little bit of a",118
"by the end of this",118
"said in a phone interview",118
"the port authority of new",118
"with runners in scoring position",118
"at the center of the",117
"for the first time this",117
"in the first three months",117
"president and ceo of the",117
"said at a news conference",117
"president of the united states",116
"of health and human services",115
"tens of millions of dollars",115
"the second half of the",115
"at the university of california",114
"is one of the few",114
"over the past few years",114
"the second round of the",114
"it was one of the",113
"over the course of the",113
"across the street from the",112
"reservations and credit cards accepted",112
"in the second half of",111
"president and chief executive officer",111
"director of the center for",110
"in the center of the",110
"season with salt and pepper",110
"the rest of the way",110
"at the end of last",109
"for the second time in",109
"in and out of the",108
"is survived by his wife",108
"more than half of the",108
"spent a lot of time",108
"people familiar with the matter",107
"the end of this year",107
"the same period last year",107
"the first time since the",106
"more than a year ago",105
"respond to a request for",105
"the american civil liberties union",105
"the end of the first",105
"to do the right thing",105
"was one of the first",105
"a long way to go",104
"for more information or to",104
"one of the most important",104
"the rest of the country",104
"there were a lot of",104
"before the end of the",103
"s going to be a",103
"anyone with information about the",102
"at the heart of the",102
"department of health and human",102
"first three months of the",102
"one of the most popular",102
"to a request for comment",102
"over the past two years",101
"pronounced dead at the scene",101
"the other end of the",101
"to the rest of the",101
"with the rest of the",101
"one of the things that",100
"he was one of the",99
"in the parking lot of",99
"the good news is that",99
"was going to be a",99
"of state hillary rodham clinton",98
"secretary of state hillary rodham",98
"we want to make sure",98
"the national transportation safety board",97
"was pronounced dead at the",97
"and open to the public",96
"said in a prepared statement",96
"but at the end of",95
"for more than 20 years",95
"in the last two years",95
"did not respond to a",94
"until the end of the",94
"at the height of the",93
"at the time of his",93
"i have a lot of",93
"on the side of the",93
"told the associated press that",93
"i think a lot of",92
"to take advantage of the",92
"a lot of people who",91
"a person familiar with the",91
"at the university of missouri",91
"over the next two years",91
"the end of last year",91
"was one of the most",91
"free and open to the",90
"in a letter to the",90
"salt and pepper to taste",90
"the middle of the night",90
"said in a telephone interview",89
"and the district of columbia",88
"at the end of this",88
"it's not going to be",88
"the state of new jersey",88
"with two outs in the",88
"in the form of a",87
"in the fourth quarter of",87
"the beginning of the year",87
"but when it comes to",86
"on the day of the",86
"the new york mercantile exchange",86
"the rest of the year",86
"a larceny was reported at",85
"a lot of work to",85
"according to a news release",85
"according to the national weather",85
"are going to have to",85
"as one of the most",85
"it remains to be seen",84
"to the national weather service",84
"with one out in the",84
"and a member of the",83
"for more than 30 years",83
"in the last few years",83
"said in an interview that",83
"step in the right direction",83
"the last couple of years",83
"to 10 years in prison",83
"with information is asked to",82
"has pleaded not guilty to",81
"in the best interest of",81
"is open to the public",81
"national highway traffic safety administration",81
"on the eve of the",81
"on the new york mercantile",81
"respond to requests for comment",81
"spend a lot of time",81
"was arrested on suspicion of",81
"anyone with information is asked",80
"former house speaker newt gingrich",80
"was taken to a hospital",80
"a little more than a",79
"county jail in lieu of",79
"for the remainder of the",79
"is in the midst of",79
"said in a statement released",79
"the news of the world",79
"the start of the season",79
"of millions of dollars in",78
"over the past three years",78
"senate majority leader harry reid",78
"the first time in a",78
"the state department of education",78
"a lot of people are",77
"dispatch contributed to this report",77
"in the heart of the",77
"is going to have to",77
"said in an interview with",77
"and at the same time",76
"in other parts of the",76
"in the first half and",76
"in the past five years",76
"there are going to be",76
"we had a lot of",76
"what appeared to be a",76
"have to be able to",75
"i thought it was a",75
"in the case of the",75
"the first time this season",75
"did not return a call",74
"in a statement that the",74
"it's just a matter of",74
"pacific gas and electric co",74
"the company said in a",74
"the department of homeland security",74
"the first two games of",74
"the right side of the",74
"center for the performing arts",73
"he said in a statement",73
"is in the process of",73
"it turned out to be",73
"the rest of my life",73
"the yield on the 10",73
"there are a number of",73
"to be able to do",73
"to go back to the",73
"and chief executive officer of",72
"at case western reserve university",72
"before the start of the",72
"from all over the world",72
"have nothing to do with",72
"i think it's going to",72
"is free and open to",72
"the end of the game",72
"the state board of education",72
"toward the end of the",72
"with the help of a",72
"did not immediately respond to",71
"did not respond to requests",71
"for the past two years",71
"on and off the field",71
"tens of thousands of dollars",71
"the national highway traffic safety",71
"chief executive officer of the",70
"i had a lot of",70
"if you look at the",70
"not respond to requests for",70
"on sale at 10 a",70
"on the first day of",70
"the bottom line is that",70
"the number of people who",70
"at the university of michigan",69
"be a part of the",69
"between a man and a",69
"fannie mae and freddie mac",69
"figure out a way to",69
"going to be a lot",69
"he said in an interview",69
"of the rest of the",69
"of thousands of dollars in",69
"over the last two years",69
"over the past five years",69
"the end of the week",69
"the end of the world",69
"the federal reserve bank of",69
"there's going to be a",69
"to be a lot of",69
"according to people familiar with",68
"at an annual rate of",68
"cuyahoga county commissioner jimmy dimora",68
"first round of the playoffs",68
"i don't want to be",68
"said he did not know",68
"state department of environmental protection",68
"the side of the road",68
"to make the most of",68
"want to be able to",68
"when i was a kid",68
"where he was pronounced dead",68
"a big part of the",67
"a couple of weeks ago",67
"at this time of year",67
"in the 100 block of",67
"more than a decade ago",67
"near the end of the",67
"over the next five years",67
"president and chief executive of",67
"the first day of the",67
"the left side of the",67
"the state department of environmental",67
"to be honest with you",67
"in one of the most",66
"in the aftermath of the",66
"in the new york times",66
"it will be interesting to",66
"may not be able to",66
"over the next few years",66
"the first time in the",66
"the united states of america",66
"to do a better job",66
"to people familiar with the",66
"what it means to be",66
"will not be able to",66
"with the securities and exchange",66
"an hour and a half",65
"in the past few years",65
"on the part of the",65
"on the way to the",65
"one of the world's most",65
"out of the first round",65
"said in a recent interview",65
"to five years in prison",65
"will be held at the",65
"a lot of people in",64
"a lot of things that",64
"a margin of error of",64
"do a better job of",64
"in the last three years",64
"is the best way to",64
"is the latest in a",64
"it is what it is",64
"not respond to a request",64
"patient protection and affordable care",64
"second year in a row",64
"that was one of the",64
"through the end of the",64
"was one of the best",64
"endangering the welfare of a",63
"home run of the season",63
"i can tell you that",63
"points in the fourth quarter",63
"re going to have to",63
"the first time in his",63
"the latest in a series",63
"the rest of his life",63
"there was a time when",63
"think it's going to be",63
"at the center of a",62
"at the front of the",62
"don't have to worry about",62
"in the 300 block of",62
"in the wake of a",62
"it is one of the",62
"latest in a series of",62
"lot of work to do",62
"more information or to register",62
"over the next three years",62
"protection and affordable care act",62
"season to taste with salt",62
"since the beginning of the",62
"the past couple of years",62
"the same period a year",62
"to make it easier for",62
"university of medicine and dentistry",62
"you don't have to be",62
"a political science professor at",61
"federal reserve chairman ben bernanke",61
"for the rest of my",61
"from the top of the",61
"get in the way of",61
"girl with the dragon tattoo",61
"in the event of a",61
"on the west side of",61
"open at least a year",61
"the army corps of engineers",61
"to be part of a",61
"under the influence of alcohol",61
"up to 10 years in",61
"will be interesting to see",61
"an earlier version of this",60
"at the university of oregon",60
"came up with the idea",60
"from the rest of the",60
"going to be a very",60
"i thought it would be",60
"in the next few weeks",60
"in the second round of",60
"points in the second half",60
"since the start of the",60
"the cause of the fire",60
"the first six months of",60
"the university of north carolina",60
"to get the job done",60
"while at the same time",60
"at least one of the",59
"director of the new jersey",59
"error of plus or minus",59
"he is survived by his",59
"he was a member of",59
"home with pool built in",59
"in the first two games",59
"in the gulf of mexico",59
"national register of historic places",59
"over the course of a",59
"robert wood johnson university hospital",59
"sentenced to life in prison",59
"the second year in a",59
"to the back of the",59
"a step in the right",58
"at a news conference in",58
"at newark liberty international airport",58
"foot home with pool built",58
"for a couple of years",58
"going to have to be",58
"here are some of the",58
"in a conference call with",58
"in a lot of ways",58
"in the fourth quarter and",58
"is not going to be",58
"it would be nice to",58
"state of the union address",58
"the executive director of the",58
"the federal emergency management agency",58
"a conference call with reporters",57
"a lot to do with",57
"be one of the most",57
"both sides of the ball",57
"early in the second half",57
"familiar with the matter said",57
"for his role in the",57
"for more than two years",57
"for the past three years",57
"going to be a good",57
"in the rest of the",57
"in the second half and",57
"in the third quarter of",57
"information is asked to call",57
"is asked to call the",57
"on the east side of",57
"on the edge of the",57
"points in the first half",57
"the rest of the game",57
"to keep an eye on",57
"trying to figure out how",57
"was supposed to be a",57
"when you look at the",57
"will have the opportunity to",57
"and dentistry of new jersey",56
"at the end of his",56
"but for the most part",56
"condition of anonymity because the",56
"dow jones industrial average fell",56
"dow jones industrial average rose",56
"in a note to clients",56
"in a statement released by",56
"in the past three years",56
"increase in the number of",56
"medicine and dentistry of new",56
"states and the district of",56
"stores open at least a",56
"the girl with the dragon",56
"the top of the list",56
"the university of medicine and",56
"turned out to be the",56
"wars in iraq and afghanistan",56
"was born and raised in",56
"would not be able to",56
"about a third of the",55
"are rounded to the nearest",55
"at the back of the",55
"by the state department of",55
"did a good job of",55
"for more than two decades",55
"have not been able to",55
"i felt like i was",55
"i was just trying to",55
"in the line of duty",55
"in the third quarter and",55
"more than a third of",55
"of medicine and dentistry of",55
"on the back of the",55
"on the second floor of",55
"roll hall of fame and",55
"rounded to the nearest whole",55
"the national institutes of health",55
"the patient protection and affordable",55
"the welfare of a child",55
"to the front of the",55
"to the nearest whole number",55
"values are rounded to the",55
"who spoke on condition of",55
"a matter of time before",54
"and one of the most",54
"came to the united states",54
"for the state department of",54
"in more than a decade",54
"in the early stages of",54
"in the house of representatives",54
"left in the third quarter",54
"might not be able to",54
"off to a good start",54
"on the north side of",54
"on the south side of",54
"other parts of the country",54
"round of the nfl draft",54
"speaking on condition of anonymity",54
"the bottom of the ninth",54
"the end of the third",54
"the federal deposit insurance corp",54
"the middle of the field",54
"the most important thing is",54
"the start of the year",54
"to make up for the",54
"to the end of the",54
"want to make sure that",54
"was one of the few",54
"we are not going to",54
"will be one of the",54
"years in prison and a",54
"you have to have a",54
"a spokesman for the state",53
"according to the associated press",53
"at the other end of",53
"at the university of north",53
"did not immediately return a",53
"i think it would be",53
"if you can get it",53
"in the midst of the",53
"is a great way to",53
"look at some of the",53
"no arrests have been made",53
"one way or the other",53
"played a role in the",53
"reach this plain dealer reporter",53
"the best team in the",53
"the national register of historic",53
"the new york daily news",53
"the parking lot of the",53
"to get rid of the",53
"to reach this plain dealer",53
"to taste with salt and",53
"to the bottom of the",53
"was on his way to",53
"work if you can get",53
"be a part of it",52
"early in the fourth quarter",52
"for a lot of people",52
"for the next two years",52
"hall of fame and museum",52
"in the last 10 years",52
"near the top of the",52
"one man and one woman",52
"only a matter of time",52
"over the past four years",52
"return a call seeking comment",52
"separation of church and state",52
"that he was going to",52
"that turned out to be",52
"the beginning of the season",52
"the bottom of the seventh",52
"this was the first time",52
"to come up with the",52
"a lot of hard work",51
"be in the country illegally",51
"driving under the influence of",51
"former cuyahoga county commissioner jimmy",51
"i don't know if i",51
"is going to be the",51
"now is the time to",51
"of the national association of",51
"potter and the deathly hallows",51
"state of the state address",51
"the california public utilities commission",51
"the first quarter of 2012",51
"the university of southern california",51
"there will also be a",51
"was arrested and charged with",51
"was shot in the head",51
"who asked not to be",51
"according to a report in",50
"first two games of the",50
"for a variety of reasons",50
"for the republican presidential nomination",50
"i want to make sure",50
"in part because of the",50
"in the last couple of",50
"is being held at the",50
"it takes a lot of",50
"just a few years ago",50
"not going to be a",50
"over the last few years",50
"possession of a weapon for",50
"secretary of state hillary clinton",50
"the scene of an accident",50
"the time of the shooting",50
"there is no way to",50
"to 20 years in prison",50
"to be able to go",50
"to come out of the",50
"to make sure that we",50
"to reduce the number of",50
"a statement released by the",49
"according to a report by",49
"and all of a sudden",49
"and bring to a boil",49
"as a matter of fact",49
"as one of the best",49
"for the second year in",49
"for the third time in",49
"harry potter and the deathly",49
"have anything to do with",49
"in the case of a",49
"in the hands of the",49
"it doesn't have to be",49
"it is going to be",49
"it was not immediately clear",49
"nice work if you can",49
"not going to be able",49
"of error of plus or",49
"of the world trade center",49
"on either side of the",49
"on the wrong side of",49
"one of the first things",49
"percent in the first quarter",49
"president and chief operating officer",49
"said at the time that",49
"said in a press release",49
